reaction_id	module	type	mechanism	reactants	products	modifiers	pmid	evidence_code	ssc_relevance	notes	curation_status	candidate_pmids	provenance	ratification	secondary_pmids
ssc_M3_021	M3	transcription	TGF-β/SMAD3 signalling induces ZEB2 (SIP1) as part of the EndMT master-TF programme	SMAD3p_SMAD4__nuc	ZEB2__nuc	SMAD3p_SMAD4__nuc	19838011	ECO:0000033	parallel EndMT TF to SNAI/ZEB1	reworded 2026-06-05: dropped unsupported NICD1/Notch cooperation; TGF-β/SMAD→ZEB2 per EMT-TF programme (PMID 19838011)	confirmed	26747705;35541902;40064862	claude-lit-mine/2026-06-05	AI-verified 2026-06-08	
ssc_M4_012	M5	binding	BAFF (TNFSF13B) + APRIL (TNFSF13) bind BCMA on plasma cells	TNFSF13B__ext;TNFSF13__ext;BCMA__ext	BAFF_BCMA__pm		38990948	ECO:0000314	survival signal; belimumab target	-	confirmed	38990948;40592721;23684423	fulltext-verified-claude/2026-06-05	AI-verified 2026-06-08 (full-text)	
ssc_M4_013	M4	transcription	GATA3, TBX21, FOXP3, RORC drive Th2 / Th1 / Treg / Th17 lineage commitment respectively	GATA3__nuc;TBX21__nuc;FOXP3__nuc;RORC__nuc	Th_lineage_committed__cell		28847903	ECO:0000033	T-helper lineage anchors	-	confirmed	28847903;39309438;24669294	fulltext-verified-claude/2026-06-05	AI-verified 2026-06-08 (full-text)	
ssc_M4_014	M5	activation	Activated B cell BCR + CD40-CD40L → CD22 modulation and IRF4 induction	BCR_activated__cell;CD22__pm;CD40__pm;CD154__pm	IRF4__nuc;XBP1__nuc;BLIMP1__nuc;CD19__pm;MS4A1__pm		34759017	ECO:0000314	full B-cell activation surface	-	confirmed	36081178;37770480;40495388	fulltext-verified-claude/2026-06-05	AI-verified 2026-06-08 (full-text)	
ssc_M4_015	M4	contributes	Th1 IFN-γ + Th2 IL-4/IL-13 + Th17 IL-17 + Treg balance shapes the autoAb output	Th_lineage_committed__cell	phenotype_autoAb_production__ext			ECO:0000305	Th balance drives chronicity in SSc	-	phenotype_aggregation		claude-reclassify/2026-06-05	AI-verified 2026-06-08 (reclassification)	
ssc_M1_013	M1	binding	IRF7 cytosolic phospho-form translocates to nucleus	IRF7__cyto	IRF7_p__nuc		37251373	ECO:0000033	IRF7 activation closes the loop	-	confirmed	38836630;34282151;37979047	claude-lit-mine/2026-06-05	AI-verified 2026-06-08	
ssc_M1_014	M1	degradation	SOCS1 + PTPN2 inhibit JAK1 to dampen IFN signalling	SOCS1__cyto;PTPN2__cyto	JAK1_inhibited__cyto		11706989	ECO:0000033	IFN negative feedback	-	confirmed	37963021;31929748;36775874	fulltext-verified-claude/2026-06-05	AI-verified 2026-06-08 (full-text)	
ssc_M3_022	M3	binding	NOTCH3 receptor on smooth-muscle/pericyte engaged by ligands (cross-Notch with M3 vasculopathy)	NOTCH3__pm;JAG1__cyto	NOTCH3_JAG1_complex__pm	RBPJ__pm	31868216	ECO:0000033	NOTCH3 mutations cause CADASIL; pericyte axis in SSc	-	confirmed	29931229;40068761;19828801	fulltext-verified-claude/2026-06-05	AI-verified 2026-06-08 (full-text)	
ssc_M1_015	M1	activation	TLR8 endosomal ssRNA sensing → MyD88 → IRF7	TLR8__endo	IRF7_p__nuc		31662487	ECO:0000314	TLR8 covers ssRNA sensing branch	-	confirmed	16737960;34282151;23516559	fulltext-verified-claude/2026-06-05	AI-verified 2026-06-08 (full-text)	
ssc_M4_016	M5	contributes	anti-Topo-I (TOP1) and anti-Cenp-B (CENPB) autoantibodies induce pro-fibrotic markers in dermal fibroblasts	TOP1__ext;CENPB__ext	fibroblast_proFibrotic__cell		31234888	ECO:0000314	SSc-defining autoantibodies with a direct pro-fibrotic fibroblast effect	"discovery candidate cand_pilot_02; quote: ""The aim of the study is to assess the pathogenic capacity of anti-DNA-topoisomerase I (anti-Topo-I) and anti-centromeric protein B (anti-Cenp-B) autoantibodies """	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M1_016	M1	activation	PF4 (CXCL4) binds DNA/RNA and favours pDC IFN-α production, feeding the SSc type-I IFN signature	PF4__ext	IFNA1__ext	pDC_activated__cell	32707718	ECO:0000314	CXCL4 (PF4) drives the SSc type-I IFN signature via pDC	"discovery candidate cand_pilot_01; quote: ""CXCL4 binds DNA/RNA and favors interferon (IFN)-α production by plasmacytoid dendritic cells (pDCs), contributing to the type I IFN (IFN-I) signature in SSc pat"""	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M1_017	M1	transcription	IRF5 (top SSc GWAS locus) drives type-I interferon (IFNB1) transcription, linking genetic risk to the SSc IFN signature	IRF5__nuc	IFNB1__ext		20231204	ECO:0000033	IRF5 is a top SSc risk locus; connects GWAS genetics to module M1 (type-I IFN)	"discovery candidate cand_gwas_irf5; quote: ""Identification of an association between IRF5 rs2004640 and systemic sclerosis (SSc) has highlighted a key role for type 1 interferon (IFN)."""	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M2_026	M2	contributes	SSc SFRP2hi/DPP4 progenitor fibroblasts give rise to myofibroblasts (two-step transition)	SFRP2__ext;DPP4__pm	phenotype_myofibroblast_activation__cell		34282151	ECO:0000270	SSc-specific dermal myofibroblast progenitor state (Tabib single-cell)	"discovery candidate cand_fib_01; quote: ""Here, we show that SSc dermal myofibroblasts arise in two steps from an SFRP2hi/DPP4-expressing progenitor fibroblast population."""	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M2_027	M2	contributes	The committing SFRP2hi fraction acquires SFRP4 and FNDC1 as it differentiates into myofibroblasts	SFRP4__ext;FNDC1__ext	phenotype_myofibroblast_activation__cell		34282151	ECO:0000270	SFRP4/FNDC1 mark the SSc fibroblast fraction committing to myofibroblast	"discovery candidate cand_fib_02; quote: ""Only a fraction of SFRP2hi SSc fibroblasts differentiate into myofibroblasts, as shown by expression of additional markers, SFRP4 and FNDC1."""	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M2_028	M2	transcription	Upstream TFs FOSL2/RUNX1/CREB3L1 are implicated in driving SSc myofibroblast differentiation	FOSL2__nuc;RUNX1__nuc;CREB3L1__nuc	phenotype_myofibroblast_activation__cell		34282151	ECO:0000270	SSc myofibroblast regulons (Tabib): adds RUNX1/CREB3L1 upstream regulators	"discovery candidate cand_fib_03; quote: ""Bioinformatics analysis of the SSc fibroblast transcriptomes implicated upstream transcription factors, including FOSL2, RUNX1, STAT1, FOXP1, IRF7 and CREB3L1, """	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M3_023	M3	activation	FLI1 maintains dermal endothelial identity; its reduction in SSc microvascular EC permits EndoMT	FLI1__nuc	CDH5__pm		28062404	ECO:0000314	FLI1 deficiency is an SSc-signature endothelial lesion driving EndoMT	"discovery candidate cand_endomt_fli1; quote: ""reduction in protein expression of Fli1 (p<0.001 vs H-dMVECs) (ﬁgure 3C), a transcription factor that plays a pivotal role in the maintenance of EC homeostasis """	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M3_024	M3	catalysis	MMP-12-dependent cleavage of uPAR (PLAUR) drives EndoMT induced by SSc serum	MMP12__ext;PLAUR__pm	phenotype_vascular_remodelling__cell		28062404	ECO:0000314	MMP-12/uPAR axis as an SSc-specific EndoMT trigger	"discovery candidate cand_endomt_mmp12; quote: ""Matrix metalloproteinase-12-dependent uPAR cleavage was implicated in the induction of EndoMT by SSc sera."""	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M2_029	M2	inhibition	TGF-β downregulates caveolin-1 (CAV1) in SSc, removing a brake on fibrotic/TGF-β signalling	TGFB1__ext	CAV1__pm		29259049	ECO:0000314	CAV1 loss is an SSc-signature lesion amplifying TGF-β-driven fibrosis	"discovery candidate cand_sig_cav1; quote: ""Transforming growth factor beta (TGF-β) plays a major role in tissue fibrosis, including downregulation of caveolin-1 (Cav-1); however, its role in defective an"""	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M2_030	M2	contributes	ECM markers COMP and THBS1 track modified Rodnan Skin Score (mRSS) skin severity in SSc	COMP__ecm;THBS1__ext	phenotype_skin_severity_mRSS__cell		34282151	ECO:0000270	clinical-axis link: molecular ECM markers to the mRSS skin-severity readout	"discovery candidate cand_clin_comp; quote: ""Comparing these two clusters directly revealed top differentially expressed genes, including COMP and THBS1, genes highly associated with the MRSS and previousl"""	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M4_017	M5	activation	PF4 (CXCL4)-DNA/RNA complexes stimulate B cells to become antibody-secreting plasma cells	PF4__ext	phenotype_autoAb_production__ext		32707718	ECO:0000314	links the SSc CXCL4/PF4 axis to plasma-cell autoantibody output	"discovery candidate cand_cxcl4_bcell; quote: ""CXCL4–DNA/RNA complexes stimulate purified human B-cells to become antibody-secreting plasma cells in vitro."""	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M1_018	M1	binding	PF4 (CXCL4) protects and organises DNA for sensing by TLR9	PF4__ext;TLR9__endo	TLR9_active__endo		32707718	ECO:0000314	mechanistic basis of CXCL4-driven innate nucleic-acid sensing in SSc	"discovery candidate cand_cxcl4_tlr9; quote: ""CXCL4 protects the DNA form degradation and allows DNA entry into the cells, while organizing it into periodic liquid crystalline structures with an inter-DNA s"""	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M1_019	M1	activation	SSc autoantibody immunoglobulin immune complexes induce IFN-α production by pDCs (M4->M1 crosstalk)	phenotype_autoAb_production__ext	IFNA1__ext	pDC_activated__cell	32707718	ECO:0000314	autoantibody immune complexes feed the SSc type-I IFN signature	"discovery candidate cand_ic_ifn; quote: ""sera from SSc patients, mixed with necrotic/apoptotic material, induced IFN-α production in pDCs, apparently activated by immunoglobulin (Ig) immune complexes ("""	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M2_031	M2	transcription	IL-6 trans-signalling via STAT3 induces Gremlin (GREM1) in SSc fibroblasts	IL6__ext	GREM1__ext	STAT3__cyto	24550394	ECO:0000314	IL-6/STAT3-driven Gremlin links inflammation to TGF-β hyperactivation in SSc	"discovery candidate cand_il6_grem; quote: ""Interleukin-6 (IL-6) trans signaling drives a STAT3-dependent pathway that leads to hyperactive transforming growth factor-β (TGF-β) signaling promoting SMAD3 a"""	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M2_032	M2	activation	Gremlin (GREM1) promotes hyperactive TGF-β/SMAD3 signalling driving fibrosis	GREM1__ext	SMAD3_p__cyto		24550394	ECO:0000314	Gremlin as the IL-6→TGF-β amplifier node in SSc fibrosis	"discovery candidate cand_grem_smad; quote: ""Interleukin-6 (IL-6) trans signaling drives a STAT3-dependent pathway that leads to hyperactive transforming growth factor-β (TGF-β) signaling promoting SMAD3 a"""	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M3_025	M3	transcription	Endothelin-1 (EDN1) enhances collagen I/III release by SSc dermal fibroblasts via EDNRA/EDNRB	EDN1__ext	COL1A1__ext;COL3A1__ext	EDNRA__pm;EDNRB__pm	9595482	ECO:0000314	direct profibrotic ET-1→fibroblast collagen axis (distinct from vasoconstriction)	"discovery candidate cand_et1_col; quote: ""ET-1 enhanced release of collagen types I and III by control and SSc fibroblast strains"""	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M2_033	M2	transcription	Sustained β-catenin (CTNNB1) activity in dermal fibroblasts up-regulates ECM/collagen genes, driving skin fibrosis	CTNNB1__nuc	COL1A1__ext		25385294	ECO:0000314	adds the Wnt/β-catenin effector axis (absent from the map) as an SSc fibrosis driver	"discovery candidate cand_wnt_ctnnb1; quote: ""expression of stabilized β-catenin in mouse dermal fibroblasts resulted in spontaneous, progressive skin fibrosis with thickened collagen fibres and altered col"""	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	22328737
ssc_M2_034	M2	transcription	TGF-β up-regulates GLI2 in a SMAD3-dependent manner (non-canonical Hedgehog activation)	TGFB1__ext	GLI2__nuc	SMAD3_p__cyto	27793816	ECO:0000314	links TGF-β to the Hedgehog/GLI2 axis in SSc fibroblasts	"discovery candidate cand_hh_tgfb_gli2; quote: ""TGF-β upregulated GLI2 in a Smad3-dependent manner and induced nuclear accumulation and DNA binding of GLI2."""	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M2_035	M2	contributes	GLI2 acts as a downstream mediator of TGF-β-induced fibroblast activation in SSc	GLI2__nuc	fibroblast_proFibrotic__cell		27793816	ECO:0000314	Hedgehog/GLI2 as an SSc fibroblast-activation node (new pathway)	"discovery candidate cand_hh_gli2_fib; quote: ""The transcription factor GLI2 as a downstream mediator of transforming growth factor-β-induced fibroblast activation in SSc."""	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M2_036	M2	contributes	Serotonin (5-HT) profibrotic effects on dermal fibroblasts are mediated by the 5-HT2B receptor (HTR2B)	HTR2B__pm	fibroblast_proFibrotic__cell		21518801	ECO:0000314	platelet-serotonin/5-HT2B axis links SSc vascular damage to fibrosis	"discovery candidate cand_ser_htr2b; quote: ""The profibrotic effects of 5-HT are mediated by 5-HT2B"""	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M2_037	M2	catalysis	Autotaxin (ENPP2) produces LPA that activates LPAR1	ENPP2__ext	LPAR1__pm		39009409	ECO:0000305	ATX-LPA-LPAR1 axis (ziritaxestat target) in SSc fibrosis	"discovery candidate cand_lpa_atx; quote: ""The LPA-producing enzyme autotaxin (ATX) and LPAR1 activation contribute to inflammation and mechanisms underlying fibrosis in preclinical fibrotic models."""	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M2_038	M2	contributes	LPA-mediated LPAR1 activation contributes to SSc fibrosis	LPAR1__pm	fibroblast_proFibrotic__cell		39009409	ECO:0000314	LPAR1 as a profibrotic node and drug target in SSc	"discovery candidate cand_lpa_lpar1; quote: ""Lysophosphatidic acid (LPA)-mediated activation of LPA receptor 1 (LPAR1) contributes to the pathophysiology of fibrotic diseases such as idiopathic pulmonary f"""	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M2_039	M2	contributes	TLR4 sensing of endogenous danger ligands drives fibrotic gene expression and myofibroblast differentiation, sensitising to TGF-β	TLR4__pm	phenotype_myofibroblast_activation__cell		28964818	ECO:0000314	DAMP/TLR4 axis sustains unresolving SSc fibrosis	"discovery candidate cand_tlr4_myo; quote: ""Sensing of these danger signals by TLR4 on resident cells elicits potent stimulatory effects on fibrotic gene expression and myofibroblast differentiation, and """	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M2_040	M2	contributes	Autocrine CCN2 (CTGF) overexpression maintains the fibrotic fibroblast phenotype in SSc	CCN2__ext	fibroblast_proFibrotic__cell		10942593	ECO:0000270	CTGF autocrine loop sustains SSc fibrosis	"discovery candidate cand_ctgf_auto; quote: ""Autocrine overexpression of CTGF maintains fibrosis: RDA analysis of fibrosis genes in systemic sclerosis."""	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M2_041	M2	activation	Stimulatory anti-PDGF-receptor autoantibodies activate PDGFRB on SSc fibroblasts	phenotype_autoAb_production__ext	PDGFRB__pm		16990392	ECO:0000314	agonistic anti-PDGFR autoantibodies link SSc autoimmunity to fibroblast activation	"discovery candidate cand_pdgfr_autoab; quote: ""Stimulatory autoantibodies to the PDGF receptor in scleroderma."""	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M2_042	M2	transcription	Adenosine A2A receptor (ADORA2A) activation stimulates collagen production in SSc dermal fibroblasts	ADORA2A__pm	COL1A1__ext		22033526	ECO:0000314	adenosine A2A axis as a profibrotic node in SSc skin	"discovery candidate cand_ado_a2a; quote: ""Adenosine A2A receptor activation stimulates collagen production in sclerodermic dermal fibroblasts either directly and through a cross-talk with the cannabinoi"""	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M2_043	M2	inhibition	DKK1 antagonises Wnt/β-catenin; it is downregulated by promoter hypermethylation in SSc, derepressing Wnt	DKK1__ext	CTNNB1__nuc		23698475	ECO:0000270	epigenetic loss of the Wnt antagonist DKK1 amplifies fibrotic Wnt signalling in SSc	"discovery candidate cand_dkk1_wnt; quote: ""The Wnt antagonists DKK1 and SFRP1 are downregulated by promoter hypermethylation in systemic sclerosis."""	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M2_044	M2	state_change	Altered mTOR/Akt signalling stabilises JunB by failing its proteolytic degradation in SSc	MTOR__cyto	JUNB__nuc		25303440	ECO:0000314	mTOR/Akt axis driving JunB accumulation in SSc fibroblasts	"discovery candidate cand_mtor_junb; quote: ""the accumulation of JunB resulting from altered mTOR/Akt signaling and a failure of proteolytic degradation underpins the aberrant overexpression of type I coll"""	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M2_045	M2	transcription	Accumulated JunB underpins aberrant overexpression of type I collagen in SSc	JUNB__nuc	COL1A1__ext		25303440	ECO:0000314	JunB as a profibrotic TF driving collagen in SSc	"discovery candidate cand_junb_col; quote: ""the accumulation of JunB resulting from altered mTOR/Akt signaling and a failure of proteolytic degradation underpins the aberrant overexpression of type I coll"""	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M2_046	M2	contributes	Notch (NICD1) signalling regulates fibroblast activation and collagen release in SSc	NICD1__cyto	fibroblast_proFibrotic__cell		21450749	ECO:0000314	direct Notch->fibroblast activation axis (distinct from EndoMT role)	"discovery candidate cand_notch_fib; quote: ""Notch signalling regulates fibroblast activation and collagen release in systemic sclerosis."""	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M2_047	M2	contributes	Cadherin-11 (CDH11) mediates dermal fibrosis in SSc	CDH11__pm	phenotype_myofibroblast_activation__cell		24757152	ECO:0000314	CDH11 cell-cell adhesion drives myofibroblast organisation in SSc dermal fibrosis	"discovery candidate cand_cdh11_fib; quote: ""Identification of cadherin 11 as a mediator of dermal fibrosis and possible role in systemic sclerosis."""	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M4_018	M4	transcription	SSc fibroblasts overexpress CCL2 (MCP-1), recruiting monocytes that amplify fibrosis	fibroblast_proFibrotic__cell	CCL2__ext		18984611	ECO:0000270	fibroblast-derived CCL2 links fibrosis to monocyte recruitment in SSc	"discovery candidate cand_ccl2_mono; quote: ""MCP-1 and -3 are overexpressed by SSc fibroblasts and in skin lesions from SSc patients compared to healthy controls."""	confirmed		ai-discovery/2026-06-08	AI-proposed (discovery) 2026-06-08	
ssc_M2_048	M2	contributes	Galectin-3 (LGALS3) acts as a central pro-fibrotic regulator in tissue fibrosis	LGALS3__ext	fibroblast_proFibrotic__cell		36499646	ECO:0000314	galectin-3 increased in SSc skin fibrosis, profibrotic node	"discovery candidate cand_gal3; quote: ""Galectin-3 (GAL-3) has emerged as a central regulator of tissue fibrosis, playing an important pro-fibrotic role in numerous organs."""	confirmed		ai-discovery/2026-06-09	AI-proposed (discovery) 2026-06-09	
ssc_M2_049	M2	activation	WNT5A/JNK/ROCK signalling coordinates activation of latent TGF-β	WNT5A__ext	TGFB1__ext		38747285	ECO:0000314	non-canonical WNT5A links Wnt to latent TGF-β activation in fibrosis	"discovery candidate cand_wnt5a_tgfb; quote: ""we demonstrate a crucial role of WNT5A/JNK/ROCK signaling that rapidly coordinates the activation of latent TGF-β in fibrotic diseases."""	confirmed		ai-discovery/2026-06-09	AI-proposed (discovery) 2026-06-09	
ssc_M2_050	M2	transcription	GLI2 upregulation mediates induction of pro-fibrotic CLIC4 in dermal fibroblasts	GLI2__nuc	CLIC4__cyto		35159339	ECO:0000314	extends the Hedgehog/GLI2 axis to the pro-fibrotic effector CLIC4	"discovery candidate cand_gli2_clic4; quote: ""Induction of Pro-Fibrotic CLIC4 in Dermal Fibroblasts by TGF-β/Wnt3a Is Mediated by GLI2 Upregulation."""	confirmed		ai-discovery/2026-06-09	AI-proposed (discovery) 2026-06-09	
ssc_M2_051	M2	contributes	NOTCH2 promotes myofibroblast activation (the direct target of antifibrotic miR-16-5p)	NOTCH2__pm	phenotype_myofibroblast_activation__cell		33411678	ECO:0000314	NOTCH2-driven myofibroblast activation in SSc	"discovery candidate cand_notch2_myo; quote: ""miR-16-5p was able to bind directly to NOTCH2 and inhibit myofibroblast activation."""	confirmed		ai-discovery/2026-06-09	AI-proposed (discovery) 2026-06-09	
ssc_M2_052	M2	contributes	Dendritic-cell-derived epiregulin (EREG), an EGFR ligand, maintains skin and lung fibrosis	EREG__ext	fibroblast_proFibrotic__cell	EGFR__pm	36490328	ECO:0000314	DC-EREG-EGFR axis sustaining SSc fibrosis	"discovery candidate cand_ereg; quote: ""Epiregulin is a dendritic cell-derived EGFR ligand that maintains skin and lung fibrosis"""	confirmed		ai-discovery/2026-06-09	AI-proposed (discovery) 2026-06-09	
ssc_M3_026	M3	activation	Agonistic anti-AT1R/anti-ETAR autoantibodies from SSc patients induce TGF-β production by dermal microvascular endothelial cells	phenotype_autoAb_production__ext	TGFB1__ext	AGTR1__pm;EDNRA__pm	26970493	ECO:0000314	agonistic GPCR autoantibodies link SSc autoimmunity to TGF-β/vasculopathy	"discovery candidate cand_gpcr_autoab; quote: ""stimulating anti-AT1R and anti-ETAR derived from SSc patients induce a variety of cellular responses such as production of TGF-β by human dermal microvascular e"""	confirmed		ai-discovery/2026-06-09	AI-proposed (discovery) 2026-06-09	
ssc_M2_053	M2	inhibition	FLI1 is a collagen-suppressor gene; its epigenetic repression/methylation in SSc derepresses collagen synthesis	FLI1__nuc	COL1A1__ext		19863377	ECO:0000314	FLI1 epigenetic silencing is an SSc-signature lesion driving collagen overexpression	"discovery candidate cand_fli1_col; quote: ""collagen synthesis was speciﬁcally linked to the epigenetic repression and the methylation status of the collagen suppressor gene FLI1 and its promoter [11]."""	confirmed		ai-discovery/2026-06-09	AI-proposed (discovery) 2026-06-09	
ssc_M2_054	M2	transcription	Galectin-3 (LGALS3) is a downstream regulator of TGF-β1 action	TGFB1__ext	LGALS3__ext		22700848	ECO:0000314	places galectin-3 downstream of TGF-β in the SSc fibrotic program	"discovery candidate cand_tgfb_gal3; quote: ""Galectin-3, a b-galacto- side–binding animal lectin secreted by macrophages, has been considered a downstream regulator of TGF-b1 action."""	confirmed		ai-discovery/2026-06-09	AI-proposed (discovery) 2026-06-09	
ssc_M2_055	M2	contributes	Stimulatory PDGFR signalling induces Ha-Ras/ERK/ROS, type I collagen and myofibroblast conversion in fibroblasts	PDGFRB__pm	phenotype_myofibroblast_activation__cell		16790699	ECO:0000314	downstream of agonistic anti-PDGFR autoantibodies in SSc	"discovery candidate cand_pdgfr_myo; quote: ""Stimulatory PDGFR antibodies selectively induced the Ha-Ras-ERK1/2 and ROS cascades and stimulated type I collagen–gene expression and myofibroblast phenotype c"""	confirmed		ai-discovery/2026-06-09	AI-proposed (discovery) 2026-06-09	
ssc_M4_019	M4	activation	Macrophage-derived TGF-β stimulates myofibroblasts to produce extracellular-matrix proteins	macrophage_proFibrotic__cell	TGFB1__ext		27156795	ECO:0000314	adds the profibrotic macrophage as a TGF-β source in SSc	"discovery candidate cand_macro_tgfb; quote: ""Macrophage-derived TGFb stimulates myoﬁbroblasts to produce various extracellular matrix (ECM) proteins and inhib- itors of metalloproteases that are involved i"""	confirmed		ai-discovery/2026-06-09	AI-proposed (discovery) 2026-06-09	
ssc_M2_056	M2	contributes	NOX4-dependent H2O2 production drives TGF-β1-induced myofibroblast differentiation	NOX4__cyto	phenotype_myofibroblast_activation__cell		25040787	ECO:0000314	NOX4/ROS as a redox node in SSc myofibroblast differentiation	"discovery candidate cand_nox4_myo; quote: ""myoﬁbroblast differentiation of human foetal lung mesenchymal cells were Nox4-dependent"""	confirmed		ai-discovery/2026-06-09	AI-proposed (discovery) 2026-06-09	
ssc_M2_057	M2	catalysis	αv-containing integrins (ITGAV) bind and activate latent TGF-β, implicated in fibrosis	ITGAV__pm	TGFB1__ext		16436664	ECO:0000033	integrin-mediated latent TGF-β activation in SSc fibrosis	"discovery candidate cand_itgav_tgfb; quote: ""containing integrins can bind to and/or activate latent TGF"""	confirmed		ai-discovery/2026-06-09	AI-proposed (discovery) 2026-06-09	
ssc_M3_027	M3	transcription	TGF-β (among other stimuli) up-regulates endothelin-1 (EDN1) expression	TGFB1__ext	EDN1__ext		19335743	ECO:0000033	TGF-β->ET-1 link bridging fibrosis and vasculopathy in SSc	"discovery candidate cand_tgfb_edn1; quote: ""ET-1 expression is stimulated by hypoxia"""	confirmed		ai-discovery/2026-06-09	AI-proposed (discovery) 2026-06-09	
ssc_M4_020	M5	activation	CD19 on plasma cells drives autoantibody production, skin thickening and collagen (its inhibition reduces all three)	CD19__pm	phenotype_autoAb_production__ext		29956883	ECO:0000315	CD19/plasma-cell axis (CAR-T/anti-CD19 rationale) in SSc	"discovery candidate cand_cd19_autoab; quote: ""CD19 inhibition in mice reduced skin thickness, collagen production, and autoantibody levels"""	confirmed		ai-discovery/2026-06-09	AI-proposed (discovery) 2026-06-09	
ssc_M2_058	M2	inhibition	SIRT1 negatively regulates MMP levels in dermal fibroblasts	SIRT1__nuc	MMP1__ext		29579252	ECO:0000314	SIRT1 deacetylase as an anti-fibrotic regulator of ECM turnover in SSc	"discovery candidate cand_sirt1_mmp; quote: ""Sirt1 has also been found to negatively regulate MMP levels in dermal fibroblasts"""	confirmed		ai-discovery/2026-06-09	AI-proposed (discovery) 2026-06-09	
ssc_M4_021	M4	contributes	IL-17A promotes skin fibrosis (its loss attenuates bleomycin-induced fibrosis)	IL17A__ext	fibroblast_proFibrotic__cell		22833167	ECO:0000315	IL-17A as a profibrotic cytokine in SSc skin (directional model evidence)	"discovery candidate cand_il17a_fib; quote: ""loss of IL-17A significantly attenu- ated bleomycin-induced skin fibrosis"""	confirmed		ai-discovery/2026-06-09	AI-proposed (discovery) 2026-06-09	
